ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
24,script-unrelated,2,1766,2.35,1.5,1
25,control,22,1029,6.6,5.666666667,1
25,control,25,570,6.6,5.666666667,1
25,control,31,495,6.6,5.666666667,1
25,control,13,906,6.6,5.666666667,1
25,control,28,627,6.6,5.666666667,1
25,control,19,607,6.6,5.666666667,1
25,control,10,925,6.6,5.666666667,1
25,control,7,843,6.6,5.666666667,1
25,control,1,1214,6.6,5.666666667,1
25,control,4,793,6.6,5.666666667,1
25,control,16,615,6.6,5.666666667,1
25,script-related,14,550,6.6,2.636363636,1
25,script-related,17,1250,6.6,2.636363636,1
25,script-related,11,1088,6.6,2.636363636,0
25,script-related,20,754,6.6,2.636363636,1
25,script-related,23,654,6.6,2.636363636,1
25,script-related,26,465,6.6,2.636363636,1
25,script-related,29,440,6.6,2.636363636,1
25,script-related,2,1361,6.6,2.636363636,1
25,script-related,5,1079,6.6,2.636363636,1
25,script-related,8,483,6.6,2.636363636,1
25,script-unrelated,24,756,1.75,1.285714286,1
25,script-unrelated,27,688,1.75,1.285714286,1
25,script-unrelated,18,507,1.75,1.285714286,1
25,script-unrelated,9,281,1.75,1.285714286,0
25,script-unrelated,21,607,1.75,1.285714286,0
25,script-unrelated,15,635,1.75,1.285714286,1
25,script-unrelated,30,765,1.75,1.285714286,1
25,script-unrelated,3,449,1.75,1.285714286,1
25,script-unrelated,6,503,1.75,1.285714286,1
25,script-unrelated,12,763,1.75,1.285714286,1
26,control,5,1613,5.25,5.285714286,1
26,control,29,459,5.25,5.285714286,1
26,control,17,1234,5.25,5.285714286,1
26,control,2,1458,5.25,5.285714286,1
26,control,26,564,5.25,5.285714286,1
26,control,23,692,5.25,5.285714286,1
26,control,11,767,5.25,5.285714286,1
26,control,8,648,5.25,5.285714286,1
26,control,14,542,5.25,5.285714286,1
26,control,20,704,5.25,5.285714286,1
26,script-related,6,366,5.25,2.666666667,1
26,script-related,9,297,5.25,2.666666667,0
26,script-related,30,696,5.25,2.666666667,0
26,script-related,3,460,5.25,2.666666667,1
26,script-related,18,495,5.25,2.666666667,0
26,script-related,15,698,5.25,2.666666667,1
26,script-related,27,642,5.25,2.666666667,1
26,script-related,21,1034,5.25,2.666666667,0
26,script-related,24,788,5.25,2.666666667,0
26,script-related,12,888,5.25,2.666666667,1
26,script-unrelated,31,493,1.2,1.090909091,1
26,script-unrelated,28,505,1.2,1.090909091,1
26,script-unrelated,25,666,1.2,1.090909091,1
26,script-unrelated,22,877,1.2,1.090909091,1
26,script-unrelated,4,942,1.2,1.090909091,1
26,script-unrelated,16,578,1.2,1.090909091,1
26,script-unrelated,13,1358,1.2,1.090909091,1
26,script-unrelated,19,648,1.2,1.090909091,1
26,script-unrelated,10,1780,1.2,1.090909091,1
26,script-unrelated,1,697,1.2,1.090909091,1
26,script-unrelated,7,1058,1.2,1.090909091,1
27,control,6,456,6.3,6.454545455,1
27,control,18,582,6.3,6.454545455,1
27,control,24,1016,6.3,6.454545455,1
27,control,12,782,6.3,6.454545455,1
27,control,9,349,6.3,6.454545455,1
27,control,15,766,6.3,6.454545455,1
27,control,3,491,6.3,6.454545455,1
27,control,27,669,6.3,6.454545455,1
27,control,30,1592,6.3,6.454545455,1
27,control,21,1131,6.3,6.454545455,1
27,script-related,31,506,6.3,1.142857143,1
27,script-related,22,966,6.3,1.142857143,1
27,script-related,4,1018,6.3,1.142857143,1
27,script-related,16,960,6.3,1.142857143,0
27,script-related,19,618,6.3,1.142857143,1
27,script-related,13,1159,6.3,1.142857143,1
27,script-related,7,1163,6.3,1.142857143,0
27,script-related,28,500,6.3,1.142857143,1
27,script-related,10,3652,6.3,1.142857143,1
27,script-related,25,1075,6.3,1.142857143,1
27,script-related,1,1253,6.3,1.142857143,1
27,script-unrelated,5,1451,1.3,1.333333333,1
27,script-unrelated,2,1289,1.3,1.333333333,1
27,script-unrelated,14,827,1.3,1.333333333,1
27,script-unrelated,8,587,1.3,1.333333333,1
27,script-unrelated,17,1360,1.3,1.333333333,1
27,script-unrelated,26,473,1.3,1.333333333,1
27,script-unrelated,11,1126,1.3,1.333333333,0
27,script-unrelated,23,903,1.3,1.333333333,1
27,script-unrelated,20,967,1.3,1.333333333,1
27,script-unrelated,29,440,1.3,1.333333333,1
28,control,13,1388,6.3,5.916666667,1
28,control,19,731,6.3,5.916666667,1
28,control,7,1066,6.3,5.916666667,1
28,control,28,694,6.3,5.916666667,1
28,control,22,979,6.3,5.916666667,0
28,control,31,666,6.3,5.916666667,0
28,control,25,840,6.3,5.916666667,1
28,control,1,953,6.3,5.916666667,1
28,control,16,822,6.3,5.916666667,1
28,control,4,863,6.3,5.916666667,1
28,control,10,1267,6.3,5.916666667,0
28,script-related,20,985,6.3,3.454545455,1
28,script-related,8,724,6.3,3.454545455,1
