ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
23,control,26,231,5.95,5.714285714,1
23,control,11,272,5.95,5.714285714,1
23,control,29,208,5.95,5.714285714,1
23,control,17,562,5.95,5.714285714,1
23,control,2,1097,5.95,5.714285714,0
23,control,14,320,5.95,5.714285714,1
23,script-related,15,555,5.95,2.833333333,0
23,script-related,30,411,5.95,2.833333333,1
23,script-related,3,214,5.95,2.833333333,1
23,script-related,18,215,5.95,2.833333333,1
23,script-related,9,167,5.95,2.833333333,0
23,script-related,12,233,5.95,2.833333333,1
23,script-related,21,283,5.95,2.833333333,0
23,script-related,27,352,5.95,2.833333333,1
23,script-related,6,173,5.95,2.833333333,0
23,script-related,24,243,5.95,2.833333333,1
23,script-unrelated,28,236,2.85,3.181818182,1
23,script-unrelated,25,312,2.85,3.181818182,1
23,script-unrelated,16,201,2.85,3.181818182,1
23,script-unrelated,13,668,2.85,3.181818182,1
23,script-unrelated,19,361,2.85,3.181818182,1
23,script-unrelated,10,394,2.85,3.181818182,1
23,script-unrelated,1,353,2.85,3.181818182,1
23,script-unrelated,22,496,2.85,3.181818182,1
23,script-unrelated,7,523,2.85,3.181818182,1
23,script-unrelated,31,427,2.85,3.181818182,1
23,script-unrelated,4,340,2.85,3.181818182,1
24,control,24,222,6.4,6.454545455,1
24,control,18,236,6.4,6.454545455,1
24,control,12,249,6.4,6.454545455,1
24,control,3,297,6.4,6.454545455,1
24,control,30,400,6.4,6.454545455,1
24,control,21,405,6.4,6.454545455,1
24,control,15,1026,6.4,6.454545455,1
24,control,27,296,6.4,6.454545455,1
24,control,9,309,6.4,6.454545455,1
24,control,6,220,6.4,6.454545455,1
24,script-related,28,283,6.4,1.714285714,1
24,script-related,10,385,6.4,1.714285714,1
24,script-related,1,463,6.4,1.714285714,0
24,script-related,22,394,6.4,1.714285714,1
24,script-related,13,586,6.4,1.714285714,1
24,script-related,16,456,6.4,1.714285714,1
24,script-related,25,266,6.4,1.714285714,1
24,script-related,31,329,6.4,1.714285714,1
24,script-related,4,349,6.4,1.714285714,1
24,script-related,19,545,6.4,1.714285714,1
24,script-related,7,608,6.4,1.714285714,1
24,script-unrelated,26,295,2.35,1.5,1
24,script-unrelated,5,372,2.35,1.5,1
24,script-unrelated,17,746,2.35,1.5,1
24,script-unrelated,29,230,2.35,1.5,1
24,script-unrelated,23,223,2.35,1.5,1
24,script-unrelated,8,424,2.35,1.5,1
24,script-unrelated,11,242,2.35,1.5,0
24,script-unrelated,20,378,2.35,1.5,1
24,script-unrelated,14,377,2.35,1.5,0
24,script-unrelated,2,1367,2.35,1.5,1
25,control,22,464,6.6,5.666666667,1
25,control,25,279,6.6,5.666666667,1
25,control,31,269,6.6,5.666666667,1
25,control,13,487,6.6,5.666666667,1
25,control,28,304,6.6,5.666666667,1
25,control,19,314,6.6,5.666666667,1
25,control,10,448,6.6,5.666666667,1
25,control,7,406,6.6,5.666666667,1
25,control,1,644,6.6,5.666666667,1
25,control,4,413,6.6,5.666666667,1
25,control,16,265,6.6,5.666666667,1
25,script-related,14,269,6.6,2.636363636,1
25,script-related,17,691,6.6,2.636363636,1
25,script-related,11,711,6.6,2.636363636,0
25,script-related,20,463,6.6,2.636363636,1
25,script-related,23,289,6.6,2.636363636,1
25,script-related,26,254,6.6,2.636363636,1
25,script-related,29,217,6.6,2.636363636,1
25,script-related,2,1115,6.6,2.636363636,1
25,script-related,5,694,6.6,2.636363636,1
25,script-related,8,247,6.6,2.636363636,1
25,script-unrelated,24,378,1.75,1.285714286,1
25,script-unrelated,27,364,1.75,1.285714286,1
25,script-unrelated,18,259,1.75,1.285714286,1
25,script-unrelated,9,123,1.75,1.285714286,0
25,script-unrelated,21,298,1.75,1.285714286,0
25,script-unrelated,15,259,1.75,1.285714286,1
25,script-unrelated,30,346,1.75,1.285714286,1
25,script-unrelated,3,225,1.75,1.285714286,1
25,script-unrelated,6,224,1.75,1.285714286,1
25,script-unrelated,12,467,1.75,1.285714286,1
26,control,5,554,5.25,5.285714286,1
26,control,29,202,5.25,5.285714286,1
26,control,17,691,5.25,5.285714286,1
26,control,2,1030,5.25,5.285714286,1
26,control,26,268,5.25,5.285714286,1
26,control,23,288,5.25,5.285714286,1
26,control,11,367,5.25,5.285714286,1
26,control,8,253,5.25,5.285714286,1
26,control,14,256,5.25,5.285714286,1
26,control,20,364,5.25,5.285714286,1
26,script-related,6,191,5.25,2.666666667,1
26,script-related,9,152,5.25,2.666666667,0
26,script-related,30,343,5.25,2.666666667,0
26,script-related,3,223,5.25,2.666666667,1
26,script-related,18,257,5.25,2.666666667,0
26,script-related,15,332,5.25,2.666666667,1
26,script-related,27,312,5.25,2.666666667,1
26,script-related,21,479,5.25,2.666666667,0
